strain,sex,id,age,pct_fat,hTG,BW,BWC,LW,LW_BW,GLU,GTT0,GTT30,GTT60,GTT120,Insulin,AUC_GTT2,AUC_GTT1,pct_ITT0,pct_ITT30,pct_ITT60,pct_ITT120,AUC_ITT2,AUC_ITT1,TG,TC,FC,CE,PL,BHB,FFA
NZB/BlNJ,f,126,13,13.9,49.9,22.4,103,1.01,4.50,155,140,205,182,140,0.00500,3840,2580,100,59.4,45.3,40.0,-9315,-3465,69.2,134,24.4,183,228,0.921,0.510
NZB/BlNJ,m,117,9,18.4,96.4,24.0,293,0.890,3.69,172,156,267,392,292,0.0250,6960,6870,100,54.3,46.3,42.6,-10365,-4095,113,156,24.8,220,278,0.881,
NZB/BlNJ,m,118,9,13.2,40.6,28.8,329,1.24,4.29,172,170,249,314,156,0.0250,8430,4530,100,58.0,44.3,36.8,-9855,-3645,125,158,29.2,216,304,0.563,
NZB/BlNJ,m,119,9,13.6,92.4,26.2,400,1.03,3.92,184,159,269,280,123,0.0250,7665,5115,100,57.1,30.5,26.2,-13920,-4890,106,151,28.0,206,272,0.544,
NZB/BlNJ,m,120,9,15.4,116,30.8,529,1.22,3.95,204,186,277,309,140,0.0640,6885,4575,100,59.3,43.0,52.9,-11490,-4590,120,153,23.2,217,288,1.15,
NZB/BlNJ,m,121,9,16.1,110,22.8,471,0.780,3.42,182,137,248,205,86.0,0.0250,4860,4350,100,49.6,47.4,51.8,-12150,-5250,106,146,26.0,201,252,0.738,
PL/J,f,64,9,19.9,58.0,15.0,-42.9,0.600,4.00,166,155,203,226,205,1.27,6135,2505,100,53.9,34.8,42.1,-10770,-4200,213,101,16.4,142,214,0.714,
PL/J,f,65,9,16.4,68.1,15.3,-85.7,0.780,5.09,177,163,210,190,170,0.365,2835,1815,100,57.6,49.7,40.8,-10140,-3870,230,102,20.0,137,214,0.825,
PL/J,f,66,9,19.4,62.0,15.7,0.0,,,179,187,215,207,157,1.40,840,1140,100,64.9,41.5,39.2,-9420,-3300,184,95.2,14.4,135,200,,
PL/J,f,67,9,18.9,50.1,16.6,28.6,0.670,4.05,178,178,236,271,156,1.13,5265,3135,100,58.2,45.8,34.5,-10020,-3660,216,92.4,17.2,126,203,0.409,
PL/J,f,68,9,15.8,71.9,15.8,7.10,0.630,3.96,180,170,225,255,164,0.729,5295,2925,100,45.0,32.5,39.8,-12405,-5085,177,93.2,17.2,127,202,0.571,
PL/J,m,59,13,20.9,85.4,27.3,51.4,1.02,3.75,205,198,284,253,197,1.38,5025,3405,100,70.3,73.1,75.0,-6045,-2745,88.4,83.6,12.4,119,206,0.865,0.180
PL/J,m,60,13,21.4,83.8,24.4,40.5,1.01,4.14,172,174,292,259,216,1.19,8625,4815,100,77.5,58.6,52.7,-6690,-2190,59.2,84.8,14.0,118,200,1.13,0.450
